CRIM,ZN,INDUS,CHAS,NOX,RM,DIS,TAX,PTRATIO,LSTAT,AGE_middle-aged,AGE_old,AGE_young,RAD_high,RAD_low,RAD_medium
2.01019,0.0,19.58,0.06798245614035088,0.5537947136563877,7.929,2.0459,403.0,14.7,3.7,0,1,0,0,0,1
1.80028,0.0,19.58,0.0,0.605,5.877,2.4259,403.0,14.7,12.14,0,1,0,0,0,1
2.3004,0.0,19.58,0.0,0.605,6.319,2.1,403.0,14.7,11.1,0,1,0,0,0,1
2.44953,0.0,19.58,0.0,0.605,6.402,2.2625,403.0,18.426431718061675,11.32,0,1,0,0,0,1
1.20742,0.0,11.116921397379913,0.0,0.605,5.875,2.4259,407.86170212765956,14.7,14.43,0,1,0,0,0,1
2.3139,0.0,19.58,0.0,0.605,5.88,2.3887,403.0,14.7,12.03,0,1,0,0,0,1
0.13914,0.0,4.05,0.0,0.51,5.572,2.5961,296.0,16.6,14.69,0,1,0,0,0,1
0.09178,0.0,4.05,0.0,0.51,6.416,2.6463,296.0,16.6,9.04,0,1,0,0,0,1
0.08447,0.0,4.05,0.0,0.51,5.859,2.7019,296.0,16.6,9.64,0,0,0,0,0,1
0.06664,0.0,4.05,0.0,0.5537947136563877,6.546,3.780305764966741,296.0,16.6,5.33,1,0,0,0,0,1
0.07022,11.61147186147186,4.05,0.0,0.51,6.02,3.5549,296.0,16.6,10.11,0,0,0,0,0,1
3.4665813199105147,0.0,4.05,0.0,0.51,6.315,3.780305764966741,296.0,16.6,6.29,0,1,0,0,0,0
0.06642,0.0,4.05,0.0,0.51,6.86,2.9153,296.0,16.6,6.92,0,1,0,0,0,1
0.0578,0.0,2.46,0.0,0.488,6.98,2.829,193.0,17.8,5.04,1,0,0,0,1,0
0.06588,0.0,2.46,0.0,0.5537947136563877,7.765,2.741,193.0,17.8,12.645822510822512,0,1,0,0,1,0
0.06888,0.0,2.46,0.0,0.488,6.144,2.5979,193.0,17.8,9.45,0,1,0,0,1,0
0.09103,11.61147186147186,2.46,0.0,0.488,7.155,3.780305764966741,407.86170212765956,17.8,4.82,0,1,0,0,1,0
0.10008,0.0,2.46,0.0,0.488,6.266619256017506,2.847,193.0,17.8,5.68,0,1,0,0,1,0
0.08308,11.61147186147186,2.46,0.0,0.488,5.604,3.780305764966741,193.0,17.8,13.98,0,1,0,0,1,0
0.06047,0.0,2.46,0.0,0.488,6.153,3.2797,193.0,17.8,13.15,0,1,0,0,1,0
0.05602,0.0,2.46,0.0,0.488,7.831,3.1992,193.0,17.8,12.645822510822512,0,0,0,0,1,0
0.07875,45.0,3.44,0.0,0.437,6.782,3.7886,398.0,15.2,6.68,1,0,0,0,0,1
0.12579,45.0,11.116921397379913,0.0,0.437,6.556,3.780305764966741,407.86170212765956,15.2,4.56,0,0,1,0,0,1
3.4665813199105147,11.61147186147186,3.44,0.0,0.437,7.185,4.5667,398.0,15.2,5.39,1,0,0,0,0,1
0.09068,45.0,3.44,0.0,0.437,6.951,6.4798,398.0,15.2,5.1,0,0,1,0,0,1
0.06911,45.0,3.44,0.0,0.5537947136563877,6.266619256017506,6.4798,398.0,15.2,4.69,1,0,0,0,0,0
0.08664,45.0,3.44,0.0,0.5537947136563877,6.266619256017506,6.4798,398.0,15.2,2.87,0,0,1,0,0,1
0.02187,60.0,11.116921397379913,0.0,0.401,6.8,6.2196,265.0,15.6,12.645822510822512,0,0,1,0,1,0
0.01439,60.0,11.116921397379913,0.0,0.401,6.604,6.2196,265.0,15.6,4.38,0,0,1,0,1,0
0.01381,80.0,0.46,0.0,0.422,7.875,3.780305764966741,255.0,14.4,2.97,1,0,0,0,1,0
0.04011,80.0,11.116921397379913,0.0,0.404,7.287,7.309,329.0,12.6,4.08,1,0,0,0,1,0
0.04666,80.0,1.52,0.0,0.404,7.107,7.309,329.0,12.6,8.61,1,0,0,0,1,0
0.03768,80.0,1.52,0.0,0.404,7.274,7.309,329.0,12.6,6.62,1,0,0,0,1,0
0.0315,95.0,11.116921397379913,0.0,0.403,6.975,7.6534,402.0,17.0,4.56,0,0,1,0,1,0
0.01778,95.0,11.116921397379913,0.0,0.403,7.135,7.6534,402.0,17.0,4.45,0,0,1,0,1,0
0.03445,82.5,2.03,0.0,0.415,6.162,6.27,407.86170212765956,14.7,7.43,1,0,0,0,1,0
0.02177,82.5,2.03,0.0,0.415,7.61,6.27,348.0,14.7,3.11,0,0,0,0,1,0
0.0351,95.0,2.68,0.0,0.4161,7.853,5.118,224.0,14.7,3.81,1,0,0,0,1,0
0.02009,95.0,2.68,0.0,0.4161,8.034,5.118,224.0,14.7,2.88,1,0,0,0,1,0
0.13642,0.0,11.116921397379913,0.0,0.489,5.891,3.9454,277.0,18.6,10.87,0,0,0,0,1,0
0.22969,0.0,10.59,0.0,0.489,6.326,4.3549,277.0,18.6,10.97,1,0,0,0,1,0
0.25199,0.0,10.59,0.0,0.489,5.783,4.3549,277.0,18.6,12.645822510822512,0,1,0,0,1,0
0.13587,0.0,10.59,0.06798245614035088,0.489,6.064,3.780305764966741,277.0,18.6,12.645822510822512,1,0,0,0,1,0
3.4665813199105147,0.0,10.59,0.06798245614035088,0.489,5.344,3.875,277.0,18.6,12.645822510822512,0,1,0,0,1,0
0.17446,11.61147186147186,10.59,1.0,0.489,5.96,3.8771,277.0,18.6,17.27,0,1,0,0,1,0
0.37578,0.0,10.59,1.0,0.489,5.404,3.665,277.0,18.6,23.98,0,1,0,0,1,0
0.21719,0.0,10.59,1.0,0.489,5.807,3.6526,277.0,18.6,16.03,1,0,0,0,0,0
0.14052,11.61147186147186,10.59,0.0,0.489,6.266619256017506,3.9454,277.0,18.6,9.38,1,0,0,0,1,0
0.28955,0.0,10.59,0.0,0.489,6.266619256017506,3.5875,277.0,18.6,29.55,0,0,1,0,1,0
0.19802,0.0,10.59,0.0,0.5537947136563877,6.182,3.9454,277.0,18.6,9.47,0,0,0,0,1,0
0.0456,0.0,13.89,1.0,0.55,5.888,3.1121,276.0,16.4,13.51,1,0,0,0,0,1
0.07013,0.0,13.89,0.0,0.55,6.642,3.4211,276.0,18.426431718061675,9.69,0,1,0,0,0,1
0.11069,0.0,13.89,1.0,0.55,5.951,2.8893,276.0,16.4,17.92,0,1,0,0,0,1
0.11425,0.0,13.89,1.0,0.55,6.373,3.3633,276.0,16.4,10.5,0,1,0,0,0,1
0.35809,0.0,6.2,1.0,0.507,6.951,2.8617,307.0,18.426431718061675,9.71,0,1,0,0,0,1
0.40771,0.0,6.2,1.0,0.5537947136563877,6.164,3.048,307.0,17.4,21.46,0,1,0,0,0,1
0.62356,0.0,6.2,0.06798245614035088,0.507,6.266619256017506,3.2721,307.0,17.4,12.645822510822512,0,1,0,0,0,1
0.6147,0.0,6.2,0.0,0.507,6.618,3.2721,307.0,17.4,7.6,0,1,0,0,0,0
0.31533,0.0,6.2,0.0,0.504,8.266,2.8944,407.86170212765956,17.4,4.14,0,1,0,0,0,1
0.52693,11.61147186147186,11.116921397379913,0.06798245614035088,0.504,8.725,2.8944,307.0,17.4,12.645822510822512,0,1,0,0,0,1
0.38214,0.0,6.2,0.0,0.504,8.04,3.2157,307.0,17.4,3.13,0,1,0,0,0,1
0.41238,0.0,6.2,0.0,0.504,7.163,3.2157,307.0,17.4,6.36,0,1,0,0,0,1
0.29819,0.0,6.2,0.0,0.504,6.266619256017506,3.3751,307.0,17.4,3.92,0,0,1,0,0,0
0.44178,11.61147186147186,6.2,0.0,0.504,6.266619256017506,3.3751,307.0,17.4,3.76,0,0,0,0,0,1
0.537,0.0,6.2,0.0,0.504,5.981,3.6715,407.86170212765956,17.4,11.65,0,1,0,0,0,1
0.46296,0.0,6.2,0.0,0.504,7.412,3.6715,307.0,17.4,5.25,0,1,0,0,0,1
3.4665813199105147,0.0,6.2,0.06798245614035088,0.507,8.337,3.8384,307.0,18.426431718061675,2.47,0,1,0,0,0,1
0.33147,0.0,6.2,0.0,0.507,8.247,3.6519,307.0,17.4,12.645822510822512,0,1,0,0,0,1
0.44791,0.0,6.2,0.06798245614035088,0.507,6.726,3.6519,307.0,17.4,8.05,0,1,0,0,0,1
3.4665813199105147,0.0,6.2,0.0,0.507,6.086,3.6519,307.0,17.4,10.88,0,1,0,0,0,1
0.52058,0.0,6.2,1.0,0.507,6.631,4.148,307.0,17.4,9.54,0,1,0,0,0,1
0.51183,0.0,6.2,0.0,0.5537947136563877,7.358,4.148,307.0,17.4,4.73,0,1,0,0,0,1
0.08244,30.0,4.93,0.0,0.428,6.481,3.780305764966741,300.0,16.6,6.36,0,0,1,0,0,1
0.09252,30.0,4.93,0.0,0.428,6.606,6.1899,300.0,16.6,7.37,1,0,0,0,0,1
0.11329,30.0,11.116921397379913,0.0,0.5537947136563877,6.897,6.3361,300.0,16.6,11.38,0,0,0,0,0,1
0.10612,30.0,4.93,0.0,0.428,6.095,6.3361,300.0,16.6,12.4,0,1,0,0,0,1
0.1029,30.0,4.93,0.0,0.428,6.358,7.0355,407.86170212765956,16.6,11.22,1,0,0,0,0,1
3.4665813199105147,30.0,4.93,0.0,0.428,6.393,7.0355,300.0,16.6,5.19,0,0,1,0,0,1
0.20608,22.0,5.86,0.0,0.431,5.593,7.9549,330.0,19.1,12.5,0,1,0,0,0,1
0.19133,22.0,5.86,0.0,0.431,5.605,7.9549,330.0,19.1,18.46,0,1,0,0,0,1
0.33983,22.0,5.86,0.06798245614035088,0.431,6.108,3.780305764966741,330.0,19.1,9.16,1,0,0,0,0,1
0.19657,11.61147186147186,5.86,0.0,0.431,6.266619256017506,3.780305764966741,330.0,19.1,10.15,0,1,0,0,0,1
0.16439,22.0,5.86,0.0,0.431,6.433,7.8265,330.0,19.1,9.52,1,0,0,0,0,1
0.19073,22.0,5.86,0.0,0.431,6.718,7.8265,330.0,19.1,6.56,0,0,1,0,0,1
3.4665813199105147,22.0,5.86,0.0,0.431,6.487,7.3967,330.0,19.1,5.9,0,0,0,0,0,1
0.21409,22.0,5.86,0.0,0.431,6.438,7.3967,330.0,19.1,3.59,0,0,1,0,0,1
0.08221,22.0,5.86,0.0,0.431,6.957,8.9067,330.0,19.1,3.53,0,0,1,0,0,1
0.36894,22.0,5.86,0.0,0.431,8.259,8.9067,330.0,19.1,3.54,0,0,0,0,0,1
0.04819,80.0,3.64,0.0,0.392,6.108,9.2203,315.0,16.4,6.57,1,0,0,0,1,0
0.03548,80.0,3.64,0.0,0.392,5.876,9.2203,315.0,16.4,12.645822510822512,0,0,1,0,1,0
0.01538,90.0,3.75,0.0,0.394,6.266619256017506,6.3361,244.0,15.9,3.11,1,0,0,0,1,0
0.61154,20.0,3.97,0.06798245614035088,0.647,8.704,1.801,264.0,13.0,5.12,0,1,0,0,0,1
0.66351,20.0,11.116921397379913,0.0,0.647,7.333,1.8946,264.0,18.426431718061675,7.79,0,1,0,0,0,1
0.65665,20.0,3.97,0.0,0.647,6.842,2.0107,264.0,13.0,6.9,0,1,0,0,0,1
0.54011,20.0,3.97,0.06798245614035088,0.647,7.203,2.1121,264.0,13.0,9.59,0,1,0,0,0,0
0.53412,11.61147186147186,3.97,0.0,0.5537947136563877,7.52,2.1398,264.0,13.0,7.26,0,1,0,0,0,1
0.52014,20.0,3.97,0.0,0.647,8.398,2.2885,264.0,13.0,5.91,0,1,0,0,0,1
0.82526,20.0,3.97,0.0,0.647,7.327,3.780305764966741,264.0,18.426431718061675,11.25,0,0,0,0,0,1
0.55007,20.0,3.97,0.0,0.647,7.206,1.9301,264.0,13.0,8.1,0,1,0,0,0,1
0.76162,20.0,3.97,0.0,0.647,5.56,1.9865,264.0,13.0,10.45,0,1,0,0,0,1
0.7857,20.0,3.97,0.0,0.647,7.014,2.1329,264.0,13.0,14.79,0,1,0,0,0,1
0.57834,20.0,3.97,0.0,0.575,8.297,2.4216,264.0,13.0,7.44,0,1,0,0,0,0
3.4665813199105147,11.61147186147186,3.97,0.0,0.575,6.266619256017506,2.872,264.0,13.0,12.645822510822512,1,0,0,0,0,1
0.09065,20.0,11.116921397379913,1.0,0.464,5.92,3.9175,223.0,18.426431718061675,13.65,0,0,0,0,1,0
0.29916,20.0,6.96,0.06798245614035088,0.464,5.856,4.429,223.0,18.6,13.0,1,0,0,0,1,0
0.16211,20.0,6.96,0.0,0.464,6.24,3.780305764966741,223.0,18.6,6.59,0,0,1,0,1,0
0.1146,20.0,6.96,0.06798245614035088,0.5537947136563877,6.538,3.780305764966741,223.0,18.6,7.73,1,0,0,0,1,0
0.22188,20.0,6.96,1.0,0.464,7.691,4.3665,223.0,18.6,6.58,1,0,0,0,0,0
0.05644,40.0,6.41,1.0,0.447,6.758,4.0776,254.0,17.6,3.53,1,0,0,0,1,0
0.09604,40.0,6.41,0.0,0.447,6.854,4.2673,254.0,17.6,2.98,1,0,0,0,1,0
0.10469,40.0,6.41,1.0,0.447,7.267,4.7872,254.0,17.6,6.05,1,0,0,0,1,0
0.06127,11.61147186147186,11.116921397379913,1.0,0.447,6.266619256017506,4.8628,254.0,17.6,4.16,0,0,1,0,1,0
3.4665813199105147,40.0,6.41,0.0,0.447,6.482,4.1403,254.0,17.6,7.19,1,0,0,0,1,0
0.21038,20.0,3.33,0.0,0.4429,6.812,4.1007,216.0,14.9,4.85,1,0,0,0,0,1
3.4665813199105147,20.0,3.33,0.0,0.4429,6.266619256017506,3.780305764966741,216.0,14.9,3.76,0,1,0,0,0,1
0.03705,20.0,3.33,0.0,0.4429,6.968,5.2447,216.0,14.9,4.59,1,0,0,0,0,1
0.06129,20.0,3.33,1.0,0.5537947136563877,7.645,5.2119,216.0,14.9,3.01,1,0,0,0,0,1
0.01501,90.0,1.21,1.0,0.401,7.923,5.885,198.0,13.6,3.16,0,0,1,0,1,0
0.00906,90.0,2.97,0.0,0.4,7.088,7.3073,285.0,15.3,7.85,0,0,1,0,1,0
0.01096,55.0,2.25,0.0,0.389,6.453,3.780305764966741,300.0,15.3,8.23,1,0,0,0,1,0
0.01965,80.0,1.76,0.06798245614035088,0.385,6.23,9.0892,241.0,18.2,12.93,0,0,0,0,1,0
0.03871,52.5,5.32,0.0,0.405,6.209,7.3172,293.0,16.6,7.14,1,0,0,0,0,0
0.0459,52.5,5.32,0.06798245614035088,0.405,6.315,7.3172,293.0,16.6,7.6,1,0,0,0,0,1
0.04297,11.61147186147186,11.116921397379913,0.0,0.405,6.565,7.3172,293.0,16.6,12.645822510822512,0,0,0,0,0,1
3.4665813199105147,11.61147186147186,4.95,0.0,0.5537947136563877,6.861,5.1167,245.0,18.426431718061675,3.33,0,0,1,0,1,0
0.07886,80.0,4.95,0.0,0.411,7.148,5.1167,245.0,19.2,3.56,0,0,1,0,0,0
0.03615,80.0,4.95,0.0,0.411,6.63,5.1167,245.0,19.2,4.7,0,0,0,0,1,0
3.4665813199105147,0.0,13.92,0.0,0.437,6.127,5.5027,289.0,16.0,8.58,0,0,1,0,0,0
0.08199,0.0,13.92,0.0,0.437,6.009,5.5027,289.0,16.0,10.4,1,0,0,0,1,0
0.12932,0.0,13.92,0.0,0.437,6.678,5.9604,289.0,16.0,6.27,1,0,0,0,0,0
0.05372,0.0,11.116921397379913,0.0,0.437,6.549,5.9604,289.0,16.0,7.39,1,0,0,0,1,0
0.14103,0.0,13.92,0.0,0.437,5.79,6.32,289.0,16.0,15.84,1,0,0,0,1,0
3.4665813199105147,70.0,11.116921397379913,0.0,0.4,6.345,7.8278,358.0,14.8,4.97,0,0,1,0,0,0
0.05561,70.0,2.24,0.0,0.4,6.266619256017506,7.8278,358.0,14.8,4.74,0,0,0,0,0,1
0.04417,70.0,2.24,0.0,0.4,6.266619256017506,7.8278,358.0,14.8,6.07,1,0,0,0,0,1
0.03537,34.0,6.09,0.0,0.433,6.59,5.4917,407.86170212765956,16.1,9.5,1,0,0,0,0,1
0.09266,34.0,6.09,0.0,0.5537947136563877,6.495,5.4917,329.0,16.1,12.645822510822512,0,0,1,0,0,1
0.1,34.0,6.09,0.0,0.433,6.982,3.780305764966741,329.0,16.1,4.86,0,0,0,0,0,1
0.05515,33.0,2.18,0.0,0.5537947136563877,7.236,4.022,222.0,18.426431718061675,6.93,1,0,0,0,0,1
0.05479,33.0,2.18,0.0,0.472,6.616,3.37,222.0,18.4,8.93,1,0,0,0,0,1
0.07503,33.0,2.18,0.0,0.472,6.266619256017506,3.780305764966741,222.0,18.4,6.47,0,1,0,0,0,1
0.04932,33.0,2.18,0.0,0.472,6.849,3.1827,222.0,18.426431718061675,7.53,0,1,0,0,0,1
0.49298,11.61147186147186,9.9,0.0,0.544,6.635,3.3175,304.0,18.4,4.54,0,1,0,0,1,0
0.3494,0.0,9.9,0.06798245614035088,0.544,6.266619256017506,3.1025,304.0,18.4,9.97,0,1,0,0,1,0
2.63548,0.0,9.9,0.0,0.544,4.973,2.5194,304.0,18.4,12.64,1,0,0,0,1,0
3.4665813199105147,0.0,9.9,0.0,0.544,6.122,3.780305764966741,304.0,18.4,5.98,1,0,0,0,1,0
0.26169,0.0,9.9,0.0,0.544,6.023,2.834,304.0,18.4,11.72,0,1,0,0,0,0
0.26938,0.0,9.9,0.0,0.544,6.266,3.780305764966741,304.0,18.4,7.9,0,1,0,0,1,0
0.3692,0.0,9.9,0.0,0.544,6.567,3.6023,304.0,18.4,9.28,0,1,0,0,1,0
3.4665813199105147,0.0,11.116921397379913,0.0,0.544,5.705,3.945,304.0,18.426431718061675,11.5,0,1,0,0,1,0
3.4665813199105147,0.0,9.9,0.0,0.544,5.914,3.9986,304.0,18.4,18.33,0,1,0,0,1,0
0.24522,0.0,9.9,0.0,0.544,5.782,4.0317,304.0,18.4,15.94,0,1,0,0,1,0
0.40202,0.0,9.9,0.0,0.544,6.382,3.5325,304.0,18.4,10.36,0,1,0,0,1,0
3.4665813199105147,0.0,9.9,0.0,0.544,6.113,4.0019,304.0,18.4,12.73,1,0,0,0,1,0
0.1676,0.0,7.38,0.0,0.493,6.426,4.5404,287.0,18.426431718061675,7.2,1,0,0,0,0,1
0.18159,0.0,11.116921397379913,0.0,0.493,6.376,4.5404,287.0,19.6,6.87,1,0,0,0,0,1
0.35114,0.0,7.38,0.0,0.493,6.266619256017506,4.7211,287.0,19.6,7.7,1,0,0,0,0,1
3.4665813199105147,0.0,7.38,0.0,0.493,5.708,3.780305764966741,287.0,19.6,11.74,0,1,0,0,0,1
0.34109,0.0,7.38,0.0,0.493,6.415,3.780305764966741,287.0,19.6,12.645822510822512,1,0,0,0,0,1
0.19186,0.0,7.38,0.06798245614035088,0.493,6.431,5.4159,287.0,18.426431718061675,12.645822510822512,0,0,1,0,0,1
0.30347,11.61147186147186,7.38,0.0,0.493,6.312,5.4159,287.0,19.6,6.15,0,0,0,0,0,1
0.24103,0.0,7.38,0.0,0.493,6.083,5.4159,287.0,19.6,12.79,1,0,0,0,0,1
0.06617,0.0,3.24,0.0,0.46,5.868,5.2146,430.0,16.9,9.97,0,0,1,0,1,0
0.06724,0.0,3.24,0.0,0.46,6.333,5.2146,430.0,16.9,7.34,0,0,0,0,1,0
3.4665813199105147,0.0,3.24,0.0,0.46,6.144,3.780305764966741,407.86170212765956,16.9,9.09,1,0,0,0,1,0
0.05023,35.0,6.06,0.0,0.4379,5.706,6.6407,304.0,16.9,12.43,0,0,1,0,1,0
0.03466,35.0,6.06,0.0,0.4379,6.031,6.6407,304.0,18.426431718061675,7.83,0,0,1,0,1,0
0.05083,0.0,5.19,0.0,0.5537947136563877,6.316,6.4584,224.0,20.2,5.68,1,0,0,0,0,0
0.03738,0.0,5.19,0.0,0.515,6.31,6.4584,224.0,20.2,6.75,1,0,0,0,0,1
0.03961,0.0,5.19,0.06798245614035088,0.515,6.037,5.9853,224.0,20.2,12.645822510822512,1,0,0,0,0,1
